subject,trial_index,stimulus_song,target,emotion,valence,arousal,correct
r5l2vw7lqxdnfg7,26,audio/5_Love's_Requiem.mp3,sad,sad,16,17,TRUE
r5l2vw7lqxdnfg7,27,audio/12_Skinny_Love.mp3,sad,sad,16,14,TRUE
r5l2vw7lqxdnfg7,28,audio/2_Sweet_Song.mp3,relaxed,sad,16,6,FALSE
r5l2vw7lqxdnfg7,29,audio/2_Blood_On_The_Ground.mp3,angry,angry,23,77,TRUE
r5l2vw7lqxdnfg7,30,audio/12_Skank_Down.mp3,happy,happy,78,78,TRUE
r5l2vw7lqxdnfg7,31,audio/3_Walk_on_the_wild_side.mp3,relaxed,relaxed,50,50,TRUE
r5l2vw7lqxdnfg7,32,audio/14_Get_Lucky.mp3,happy,happy,66,67,TRUE
r5l2vw7lqxdnfg7,33,audio/9_If_The_Creeks_Don't_Rise.mp3,happy,happy,63,73,TRUE
r5l2vw7lqxdnfg7,34,audio/4_Come_On_Baby.mp3,relaxed,relaxed,50,50,TRUE
r5l2vw7lqxdnfg7,35,audio/26_Make_Light.mp3,happy,happy,73,84,TRUE
r5l2vw7lqxdnfg7,36,audio/26_It_Only_Hurts_When_I'm_Breathing.mp3,sad,sad,25,14,TRUE
r5l2vw7lqxdnfg7,37,audio/2_On_A_Slow_Boat_To_China.mp3,relaxed,none of these,50,50,FALSE
r5l2vw7lqxdnfg7,38,audio/28_Valerie.mp3,happy,happy,76,81,TRUE
r5l2vw7lqxdnfg7,39,audio/13_Boser_Wolf.mp3,sad,sad,23,10,TRUE
r5l2vw7lqxdnfg7,40,audio/3_It_Only_Hurts_When_I'm_Breathing.mp3,sad,sad,20,18,TRUE
r5l2vw7lqxdnfg7,41,audio/25_Old_Blacktop_[Album_Version].mp3,sad,sad,19,18,TRUE
r5l2vw7lqxdnfg7,42,audio/7_Here_Today.mp3,sad,none of these,50,50,FALSE
r5l2vw7lqxdnfg7,43,audio/9_Pain_(Live_Version).mp3,angry,angry,17,81,TRUE
r5l2vw7lqxdnfg7,44,audio/2_Love's_Requiem.mp3,sad,sad,6,11,TRUE
